,Index,title,rating,price,link
36,36,FÉ E INTELIGÊNCIA ARTIFICIAL: EXPLORANDO O IMPACTO DA TECNOLOGIA NA RELIGIÃO CRISTÃ  ,Sem,"R$ 0,00",/F%C3%89-INTELIG%C3%8ANCIA-ARTIFICIAL-EXPLORANDO-TECNOLOGIA-ebook/dp/B0BVXXMZ1C
37,37,Kit Capa Kindle Paperwhite 11ª geração [2021] + Película e Caneta Touch - Auto Hibernação - Fecho Magnético - Modelo M2L3EK (Rosa)  ,"3.43,4","R$ 79,90",/Kindle-Paperwhite-gera%C3%A7%C3%A3o-Pel%C3%ADcula-Caneta/dp/B0BPQ6Y8ZR
38,38,Capa Kindle Paperwhite 10ª Geração (2019) WB - Ultra Leve Silicone Flexível e Sensor Magnético - Tecido Preta (Não Compatível com Kindle 10ª Geração 2018 ou Kindle 11ª Geração 2022)  ,"4.84,8","R$ 59,99",/Paperwhite-WB-Hiberna%C3%A7%C3%A3o-Magn%C3%A9tico-Silicone/dp/B07T71ZZ2D
39,39,"Capa Kindle Paperwhite 10ª Geração 2019 WB Ultra Leve, Silicone Flexivel e Sensor Magnético - Origami tecido Rosa (Não Compatível com Kindle 10ª Geração ou Kindle Paperwhite 11ª Geração  ","4.64,6","R$ 59,99",/Paperwhite-WB-Hiberna%C3%A7%C3%A3o-Magn%C3%A9tico-Silicone/dp/B07TWD2QGT
40,40,Harry Potter e a Pedra Filosofal  ,"4.94,9","R$ 0,00",/gp/bestsellers/digital-text/17523881011/ref=sr_bs_40_17523881011_1
41,41,Capa Kindle Paperwhite 11ª Geração 2021 - WB Silicone Flexível e Sensor Magnético - Vertical Van Gogh (Não Compatível com Kindle 11ª Geração ou Kindle Paperwhite 10ª Geração)  ,"4.74,7","R$ 89,99",/Capa-Novo-Kindle-Paperwhite-gera%C3%A7%C3%A3o/dp/B09H8BS96R
42,42,"Capa Kindle Paperwhite 10a geração (2019) WB - Premium a Prova D'água, Auto Hibernação - Vertical Preto (Não Compatível com Kindle 10ª Geração)  ","4.84,8","R$ 69,99",/Paperwhite-Gera%C3%A7%C3%A3o-WB-Vertical-Hiberna%C3%A7%C3%A3o/dp/B07JK6DZHV
43,43,Capa Kindle Paperwhite 11ª Geração 2021 - WB Ultra leve Silicone Flexível e Sensor Magnético - Eureka (Não Compatível com Kindle 11ª Geração ou Kindle 10ª Geração)  ,"4.84,8","R$ 79,99",/Capa-Novo-Kindle-Paperwhite-gera%C3%A7%C3%A3o/dp/B09H7W579Q
44,44,Box - As grandes histórias de Sherlock Holmes  ,"4.74,7","R$ 0,99",/Box-grandes-hist%C3%B3rias-Sherlock-Holmes-ebook/dp/B09XC3ZF1M
45,45,"CCOO Nova capa para Kindle Paperwhite (7ª/6ª/5ª geração – Lançada 2015/2013/2012 — Modelo aplicável: DP75SDI ou EY21), capa inteligente para hibernar/despertar automática  ","4.64,6","R$ 69,60",/CCOO-Nova-Kindle-Paperwhite-gera%C3%A7%C3%A3o/dp/B09KRVHWF1
46,46,Capa Kindle Paperwhite10a Geração (2019) à Prova D'água Freedom WB Preta ( Não Compatível com Kindle 10ª Geração)  ,"4.54,5","R$ 49,99",/Paperwhite-WB-Premium-Freedom-Hiberna%C3%A7%C3%A3o/dp/B07Q3HR962
47,47,Mistifica-me (ebook Unlimited Swiss Stories # 2): Um romance policial suspense para adultos (mistério e hot) made in Switzerland - versão best Kindle ebook  ,"3.83,8","R$ 0,00",/Mistifica-me-Swiss-Stories-suspence-Switzerland-ebook/dp/B07P3RVKKJ
